BS_Tilt,BS_Azimuth,BS_Height,Distance,UE_Azimuth,UE_Tilt,LOS,Indoor_Path,Outdoor_Path,RSRP
0.0,282.0,29.0,592.95,184.64,-3.6188,0.0,18.269,574.56,-89.774
0.0,152.0,29.0,289.72,19.561,-7.5695,0.0,38.739,250.84,-73.961
0.0,314.0,28.0,1518.1,295.6,-0.01886,0.0,97.153,1417.4,-102.59
0.0,58.0,32.0,1195.3,351.44,-0.69501,0.0,38.521,1156.6,-112.21
0.0,72.0,35.0,885.65,3.4956,-2.037,0.0,85.722,799.77,-115.71
0.0,319.0,32.0,1245.9,17.228,-1.2645,0.0,256.74,988.63,-120.52
0.0,41.6,32.0,1245.6,239.56,-0.52896,0.0,58.715,1184.2,-110.09
0.0,282.0,29.0,241.87,136.01,-9.5058,0.0,40.395,201.13,-79.211
2.0,197.0,32.0,894.71,295.13,-0.73639,0.0,81.323,811.31,-115.71
0.0,175.0,29.0,1081.7,128.54,-2.8844,0.0,407.43,672.33,-124.15
0.0,59.0,32.0,255.44,130.24,-12.472,1.0,0.0,255.01,-84.461
2.0,197.0,32.0,495.43,5.6761,-3.638,0.0,225.73,269.6,-94.086
0.0,310.0,32.0,1883.9,16.848,-0.98837,0.0,222.72,1660.4,-129.4
0.0,179.0,32.0,1574.3,178.91,-1.8373,0.0,562.28,1011.7,-128.21
0.0,44.0,29.0,1333.5,143.94,-2.4261,0.0,475.48,856.66,-120.65
0.0,314.3,32.0,373.76,106.16,-7.0918,0.0,16.208,356.58,-89.461
0.0,309.0,32.0,1037.3,27.627,-2.1808,0.0,280.6,755.86,-122.15
0.0,58.0,28.0,1124.2,278.08,-0.53516,0.0,34.341,1086.7,-105.9
0.0,57.0,37.0,1096.7,308.52,-0.39185,0.0,23.133,1071.6,-100.15
6.0,299.0,35.0,1892.2,359.12,-0.74182,0.0,283.01,1608.9,-127.34
0.0,44.0,29.0,350.46,230.91,-4.3241,0.0,3.644,346.18,-79.711
0.0,58.0,32.0,246.22,126.08,-9.3406,0.0,25.151,220.61,-94.399
0.0,59.0,32.0,237.12,137.56,-12.944,0.0,50.31,186.49,-86.336
0.0,314.0,28.0,230.46,21.109,-8.9995,0.0,74.177,156.16,-85.149
2.0,180.0,28.0,994.66,276.12,-0.83517,0.0,374.05,617.82,-119.09
6.0,299.0,35.0,1008.3,329.75,-1.0511,0.0,63.49,944.02,-111.84
0.0,319.0,32.0,399.97,47.736,-5.9237,0.0,219.88,179.42,-110.4
0.0,57.0,37.0,1238.0,306.36,-0.25455,0.0,115.83,1119.9,-110.27
0.0,41.6,32.0,1342.8,224.73,-0.87463,0.0,266.54,1074.2,-109.59
0.0,72.0,35.0,1587.1,323.82,0.054151,0.0,30.008,1555.4,-115.21
0.0,68.0,34.0,808.41,28.118,-2.3729,0.0,146.77,660.99,-95.586
